;Månedslønn (kr);;;;;
8183 Pakke-, tappe- og etikettmaskinoperatører;41 150;42 490;38 410;42 410;44 170;39 150
8189 Andre stasjonære maskinoperatører;.;.;.;.;.;.
8211 Montører av mekaniske produkter;41 070;41 150;:;43 210;43 300;:
8212 Montører av elektriske og elektroniske produkter;42 150;43 850;38 650;43 920;45 630;40 320
8219 Andre montører;:;:;:;:;:;:
8311 Lokomotiv og T-baneførere;59 970;60 710;53 610;63 330;64 090;56 620
8312 Skiftekonduktører mv;:;:;:;56 830;56 940;:
8322 Bil-, drosje- og varebilførere;36 170;36 350;34 340;37 520;37 680;35 880
8331 Bussjåfører og trikkeførere;39 000;39 010;38 890;40 980;40 990;40 840
8332 Lastebil- og trailersjåfører;40 140;40 200;38 250;41 880;41 960;39 560
8341 Jordbruks- og skogbruksmaskinførere;39 290;39 320;:;40 660;40 660;:
8342 Anleggsmaskinførere;43 440;43 570;39 160;45 350;45 500;40 890
8343 Kran- og heisførere mv.;45 830;46 100;:;48 400;48 660;:
8344 Truckførere;39 720;39 700;:;42 370;42 390;:
8350 Dekks- og maskinmannskap (skip);45 600;46 030;37 380;47 070;47 560;38 620
9111 Renholdere i private hjem;33 760;:;33 700;35 600;:;35 390
9112 Renholdere i virksomheter;34 850;35 450;34 670;36 360;37 160;36 120
9122 Bilvaskere;34 860;35 200;31 680;36 090;36 440;33 200
9123 Vinduspussere;:;:;:;:;:;:
9129 Andre rengjørere;:;:;.;:;:;:
9211 Hjelpearbeidere i nyttevekstproduksjon;32 520;33 740;29 970;33 780;35 010;:
9212 Hjelpearbeidere i husdyrproduksjon;27 780;30 670;26 510;29 160;32 300;27 620
9213 Hjelpearbeidere i kombinasjonsbruk;30 070;30 780;27 880;31 660;32 390;29 450
9214 Hjelpearbeidere i gartneri mv.;33 990;34 600;31 610;36 480;36 780;35 230
9215 Hjelpearbeidere i skogbruk;:;:;:;:;:;:
9216 Hjelpearbeidere innen havbruk;36 300;37 930;:;38 110;:;:
9311 Hjelpearbeidere i bergverk;:;:;:;:;:;:
9312 Hjelpearbeidere i anlegg;39 610;39 830;34 770;41 910;42 140;36 990
9313 Hjelpearbeidere i bygg;36 250;36 360;33 690;38 050;38 140;35 730
9321 Håndpakkere mv.;37 160;38 360;35 380;39 340;40 440;37 560
9329 Andre hjelpearbeidere i industri;40 810;41 510;36 790;42 180;42 900;38 190
9331 Førere av ikke-motorisert kjøretøy;:;:;.;.;.;.
9333 Laste- og lossearbeidere;38 500;38 920;34 670;40 710;41 100;37 440
9334 Varepåfyllere;33 490;33 730;32 550;35 600;35 870;34 360
9412 Kjøkkenassistenter;31 360;30 620;31 720;32 960;32 260;33 310
9510 Reklamedistributører mv.;37 990;38 200;:;39 580;40 030;:
9611 Renovasjonsarbeidere;38 470;38 590;37 160;40 470;40 660;38 570
9612 Gjenvinningsarbeidere;36 480;36 740;34 810;38 070;38 530;35 570
9613 Gatefeiere mv.;:;:;.;:;:;:
9621 Bud mv.;36 500;36 600;36 130;37 470;37 730;36 620
9622 Altmuligmann;36 370;36 930;34 000;38 380;39 060;35 500
9623 Måleravlesere mv.;39 910;:;:;41 980;:;:
9629 Andre hjelpearbeidere;33 250;34 570;31 970;33 750;35 070;32 280
